File: D0_Signal_MonteCarlo_1_2.npy
Features with importance
m: 0.05935143414310555
pt: 0.08557539276235283
decayLength: 0.1238019457134363
dca12: 0.08503473296737671
dcaV0ToPv: 0.12886906029143425
ptKaon: 0.1345044612547725
dcaKaon: 0.12934162930177925
ptPion: 0.13427194479123836
dcaPion: 0.11924939877450426
