File: D0_background_1_2.npy
Features with importance
m: 0.07765854032504943
pt: 0.10789083665441937
decayLength: 0.1257517936834478
dca12: 0.08649076092482699
dcaV0ToPv: 0.1259081766722929
ptKaon: 0.10978768642394449
dcaKaon: 0.13402335527349593
ptPion: 0.09925833624525618
dcaPion: 0.1332305137972669
